Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,cooperate,0,5,0,5
2,defect,defect,3,3,3,8
3,defect,defect,3,3,6,11
4,defect,defect,3,3,9,14
5,defect,defect,3,3,12,17
6,defect,defect,3,3,15,20
7,cooperate,defect,5,0,20,20
8,defect,defect,3,3,23,23
9,defect,defect,3,3,26,26
10,defect,cooperate,0,5,26,31
11,defect,defect,3,3,29,34
12,defect,defect,3,3,32,37
13,defect,cooperate,0,5,32,42
14,defect,defect,3,3,35,45
15,defect,defect,3,3,38,48
16,defect,defect,3,3,41,51
17,cooperate,defect,5,0,46,51
18,defect,cooperate,0,5,46,56
19,defect,defect,3,3,49,59
20,defect,defect,3,3,52,62
21,cooperate,defect,5,0,57,62
22,defect,defect,3,3,60,65
23,defect,defect,3,3,63,68
24,defect,defect,3,3,66,71
25,defect,defect,3,3,69,74
26,defect,defect,3,3,72,77
27,defect,cooperate,0,5,72,82
28,cooperate,defect,5,0,77,82
29,defect,defect,3,3,80,85
30,defect,defect,3,3,83,88
31,defect,defect,3,3,86,91
32,defect,defect,3,3,89,94
33,defect,defect,3,3,92,97
34,cooperate,defect,5,0,97,97
35,cooperate,defect,5,0,102,97
36,defect,defect,3,3,105,100
37,defect,defect,3,3,108,103
38,defect,defect,3,3,111,106
39,cooperate,cooperate,1,1,112,107
40,defect,cooperate,0,5,112,112
41,defect,defect,3,3,115,115
42,defect,defect,3,3,118,118
43,defect,defect,3,3,121,121
44,defect,cooperate,0,5,121,126
45,defect,defect,3,3,124,129
46,defect,defect,3,3,127,132
47,defect,defect,3,3,130,135
48,defect,cooperate,0,5,130,140
49,cooperate,defect,5,0,135,140
50,defect,defect,3,3,138,143
