Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,cooperate,0,5,0,5
2,defect,defect,3,3,3,8
3,defect,defect,3,3,6,11
4,cooperate,defect,5,0,11,11
5,defect,cooperate,0,5,11,16
6,defect,defect,3,3,14,19
7,defect,defect,3,3,17,22
8,defect,defect,3,3,20,25
9,defect,cooperate,0,5,20,30
10,defect,cooperate,0,5,20,35
11,defect,defect,3,3,23,38
12,defect,defect,3,3,26,41
13,defect,defect,3,3,29,44
14,defect,defect,3,3,32,47
15,defect,defect,3,3,35,50
16,defect,defect,3,3,38,53
17,defect,defect,3,3,41,56
18,defect,defect,3,3,44,59
19,defect,defect,3,3,47,62
20,defect,defect,3,3,50,65
21,defect,defect,3,3,53,68
22,defect,defect,3,3,56,71
23,defect,defect,3,3,59,74
24,defect,defect,3,3,62,77
25,defect,defect,3,3,65,80
26,defect,defect,3,3,68,83
27,defect,defect,3,3,71,86
28,defect,defect,3,3,74,89
29,defect,defect,3,3,77,92
30,defect,defect,3,3,80,95
31,defect,defect,3,3,83,98
32,defect,defect,3,3,86,101
33,defect,defect,3,3,89,104
34,defect,defect,3,3,92,107
35,defect,defect,3,3,95,110
36,defect,defect,3,3,98,113
37,defect,defect,3,3,101,116
38,defect,defect,3,3,104,119
39,defect,defect,3,3,107,122
40,defect,defect,3,3,110,125
41,defect,defect,3,3,113,128
42,defect,defect,3,3,116,131
43,defect,defect,3,3,119,134
44,defect,defect,3,3,122,137
45,defect,defect,3,3,125,140
46,defect,defect,3,3,128,143
47,defect,defect,3,3,131,146
48,defect,defect,3,3,134,149
49,defect,defect,3,3,137,152
50,defect,defect,3,3,140,155
