Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,defect,3,3,6,6
3,defect,defect,3,3,9,9
4,defect,defect,3,3,12,12
5,defect,defect,3,3,15,15
6,defect,defect,3,3,18,18
7,defect,defect,3,3,21,21
8,defect,defect,3,3,24,24
9,defect,defect,3,3,27,27
10,defect,defect,3,3,30,30
11,defect,defect,3,3,33,33
12,defect,defect,3,3,36,36
13,defect,defect,3,3,39,39
14,defect,defect,3,3,42,42
15,defect,defect,3,3,45,45
16,defect,defect,3,3,48,48
17,defect,defect,3,3,51,51
18,defect,defect,3,3,54,54
19,defect,defect,3,3,57,57
20,defect,defect,3,3,60,60
21,defect,defect,3,3,63,63
22,defect,defect,3,3,66,66
23,defect,defect,3,3,69,69
24,defect,defect,3,3,72,72
25,defect,defect,3,3,75,75
26,defect,defect,3,3,78,78
27,defect,defect,3,3,81,81
28,defect,defect,3,3,84,84
29,defect,defect,3,3,87,87
30,defect,defect,3,3,90,90
31,defect,defect,3,3,93,93
32,defect,defect,3,3,96,96
33,defect,defect,3,3,99,99
34,defect,defect,3,3,102,102
35,defect,defect,3,3,105,105
36,defect,defect,3,3,108,108
37,defect,defect,3,3,111,111
38,defect,defect,3,3,114,114
39,defect,defect,3,3,117,117
40,defect,defect,3,3,120,120
41,defect,defect,3,3,123,123
42,defect,defect,3,3,126,126
43,defect,defect,3,3,129,129
44,defect,defect,3,3,132,132
45,defect,defect,3,3,135,135
46,defect,defect,3,3,138,138
47,defect,defect,3,3,141,141
48,defect,defect,3,3,144,144
49,defect,defect,3,3,147,147
50,defect,defect,3,3,150,150
