Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,cooperate,cooperate,1,1,1,1
2,cooperate,cooperate,1,1,2,2
3,cooperate,cooperate,1,1,3,3
4,cooperate,cooperate,1,1,4,4
5,cooperate,cooperate,1,1,5,5
6,cooperate,cooperate,1,1,6,6
7,cooperate,cooperate,1,1,7,7
8,cooperate,cooperate,1,1,8,8
9,cooperate,cooperate,1,1,9,9
10,cooperate,cooperate,1,1,10,10
11,cooperate,cooperate,1,1,11,11
12,cooperate,cooperate,1,1,12,12
13,cooperate,cooperate,1,1,13,13
14,cooperate,cooperate,1,1,14,14
15,cooperate,cooperate,1,1,15,15
16,cooperate,cooperate,1,1,16,16
17,cooperate,cooperate,1,1,17,17
18,cooperate,cooperate,1,1,18,18
19,cooperate,cooperate,1,1,19,19
20,cooperate,cooperate,1,1,20,20
21,cooperate,cooperate,1,1,21,21
22,cooperate,cooperate,1,1,22,22
23,cooperate,cooperate,1,1,23,23
24,cooperate,cooperate,1,1,24,24
25,cooperate,cooperate,1,1,25,25
26,cooperate,cooperate,1,1,26,26
27,cooperate,cooperate,1,1,27,27
28,cooperate,cooperate,1,1,28,28
29,cooperate,cooperate,1,1,29,29
30,cooperate,cooperate,1,1,30,30
31,cooperate,cooperate,1,1,31,31
32,cooperate,cooperate,1,1,32,32
33,cooperate,cooperate,1,1,33,33
34,cooperate,cooperate,1,1,34,34
35,cooperate,cooperate,1,1,35,35
36,cooperate,cooperate,1,1,36,36
37,cooperate,cooperate,1,1,37,37
38,cooperate,cooperate,1,1,38,38
39,cooperate,cooperate,1,1,39,39
40,cooperate,cooperate,1,1,40,40
41,cooperate,cooperate,1,1,41,41
42,cooperate,cooperate,1,1,42,42
43,cooperate,cooperate,1,1,43,43
44,cooperate,cooperate,1,1,44,44
45,cooperate,cooperate,1,1,45,45
46,cooperate,cooperate,1,1,46,46
47,cooperate,cooperate,1,1,47,47
48,cooperate,cooperate,1,1,48,48
49,cooperate,cooperate,1,1,49,49
50,cooperate,cooperate,1,1,50,50
