Round,Player0_Decision,Player1_Decision,Player0_Score,Player1_Score,Player0_Total,Player1_Total
1,defect,defect,3,3,3,3
2,defect,cooperate,0,5,3,8
3,defect,defect,3,3,6,11
4,defect,cooperate,0,5,6,16
5,defect,defect,3,3,9,19
6,defect,defect,3,3,12,22
7,defect,defect,3,3,15,25
8,defect,defect,3,3,18,28
9,defect,cooperate,0,5,18,33
10,defect,defect,3,3,21,36
11,defect,defect,3,3,24,39
12,defect,defect,3,3,27,42
13,defect,defect,3,3,30,45
14,defect,defect,3,3,33,48
15,defect,defect,3,3,36,51
16,defect,defect,3,3,39,54
17,defect,defect,3,3,42,57
18,defect,defect,3,3,45,60
19,defect,defect,3,3,48,63
20,defect,defect,3,3,51,66
21,defect,defect,3,3,54,69
22,defect,defect,3,3,57,72
23,defect,defect,3,3,60,75
24,defect,defect,3,3,63,78
25,defect,defect,3,3,66,81
26,defect,defect,3,3,69,84
27,defect,cooperate,0,5,69,89
28,defect,defect,3,3,72,92
29,defect,defect,3,3,75,95
30,defect,defect,3,3,78,98
31,defect,defect,3,3,81,101
32,defect,defect,3,3,84,104
33,defect,defect,3,3,87,107
34,defect,defect,3,3,90,110
35,defect,defect,3,3,93,113
36,defect,defect,3,3,96,116
37,defect,defect,3,3,99,119
38,defect,defect,3,3,102,122
39,defect,cooperate,0,5,102,127
40,defect,defect,3,3,105,130
41,defect,defect,3,3,108,133
42,defect,defect,3,3,111,136
43,defect,defect,3,3,114,139
44,defect,defect,3,3,117,142
45,defect,cooperate,0,5,117,147
46,defect,defect,3,3,120,150
47,defect,defect,3,3,123,153
48,defect,defect,3,3,126,156
49,defect,defect,3,3,129,159
50,defect,defect,3,3,132,162
